type_id,name,volume,packaged_volume,mass,market_group_id,icon_id,group_id,capacity
18,Plagioclase,0.35,0.35,1e+35,516,230,458,0.0
19,Spodumain,16.0,16.0,1e+35,517,1274,461,0.0
20,Kernite,1.2,1.2,1e+35,523,1270,457,0.0
21,Hedbergite,3.0,3.0,1e+35,527,1269,454,0.0
22,Arkonor,16.0,16.0,1e+35,512,1277,450,0.0
34,Tritanium,0.01,0.01,0.0,1857,22,18,0.0
35,Pyerite,0.01,0.01,0.0,1857,400,18,0.0
36,Mexallon,0.01,0.01,0.0,1857,401,18,0.0
37,Isogen,0.01,0.01,0.0,1857,402,18,0.0
38,Nocxium,0.01,0.01,0.0,1857,1201,18,0.0
39,Zydrine,0.01,0.01,0.0,1857,404,18,0.0
40,Megacyte,0.01,0.01,0.0,1857,405,18,0.0
41,Garbage,0.25,0.25,2500.0,20,1179,280,0.0
42,Spiced Wine,0.5,0.5,500.0,492,27,280,0.0
43,Antibiotics,0.2,0.2,5.0,492,28,280,0.0
44,Enriched Uranium,0.75,0.75,0.0,1335,29,1034,0.0
45,Frozen Plant Seeds,0.5,0.5,400.0,492,1200,281,0.0
178,Carbonized Lead S,0.0025,0.0025,0.01,113,1004,83,0.0
179,Nuclear S,0.0025,0.0025,0.01,113,1288,83,0.0
180,Proton S,0.0025,0.0025,0.01,113,1290,83,0.0
181,Depleted Uranium S,0.0025,0.0025,0.01,113,1285,83,0.0
182,Titanium Sabot S,0.0025,0.0025,0.01,113,1291,83,0.0
183,Fusion S,0.0025,0.0025,0.01,113,1287,83,0.0
184,Phased Plasma S,0.0025,0.0025,0.01,113,1289,83,0.0
185,EMP S,0.0025,0.0025,0.01,113,1286,83,0.0
186,Carbonized Lead M,0.0125,0.0125,1.0,112,1292,83,0.0
187,Nuclear M,0.0125,0.0125,1.0,112,1296,83,0.0
188,Proton M,0.0125,0.0125,1.0,112,1298,83,0.0
189,Depleted Uranium M,0.0125,0.0125,1.0,112,1293,83,0.0
190,Titanium Sabot M,0.0125,0.0125,1.0,112,1299,83,0.0
191,Fusion M,0.0125,0.0125,1.0,112,1295,83,0.0
192,Phased Plasma M,0.0125,0.0125,1.0,112,1297,83,0.0
193,EMP M,0.0125,0.0125,1.0,112,1294,83,0.0
194,Carbonized Lead L,0.025,0.025,1.0,109,1300,83,0.0
195,Nuclear L,0.025,0.025,1.0,109,1304,83,0.0
196,Proton L,0.025,0.025,1.0,109,1306,83,0.0
197,Depleted Uranium L,0.025,0.025,1.0,109,1301,83,0.0
198,Titanium Sabot L,0.025,0.025,1.0,109,1307,83,0.0
199,Fusion L,0.025,0.025,1.0,109,1303,83,0.0
200,Phased Plasma L,0.025,0.025,1.0,109,1305,83,0.0
201,EMP L,0.025,0.025,1.0,109,1302,83,0.0
202,Mjolnir Cruise Missile,0.05,0.05,1250.0,921,182,386,0.0
203,Scourge Cruise Missile,0.05,0.05,1250.0,921,183,386,0.0
204,Inferno Cruise Missile,0.05,0.05,1250.0,921,184,386,0.0
205,Nova Cruise Missile,0.05,0.05,1250.0,921,185,386,0.0
206,Nova Heavy Missile,0.03,0.03,1000.0,924,186,385,0.0
207,Mjolnir Heavy Missile,0.03,0.03,1000.0,924,187,385,0.0
208,Inferno Heavy Missile,0.03,0.03,1000.0,924,188,385,0.0
209,Scourge Heavy Missile,0.03,0.03,1000.0,924,189,385,0.0
210,Scourge Light Missile,0.015,0.015,700.0,920,190,384,0.0
211,Inferno Light Missile,0.015,0.015,700.0,920,191,384,0.0
212,Mjolnir Light Missile,0.015,0.015,700.0,920,192,384,0.0
213,Nova Light Missile,0.015,0.015,700.0,920,193,384,0.0
215,Iron Charge S,0.0025,0.0025,0.01,107,1311,85,0.0
216,Tungsten Charge S,0.0025,0.0025,0.01,107,1315,85,0.0
217,Iridium Charge S,0.0025,0.0025,0.01,107,1310,85,0.0
218,Lead Charge S,0.0025,0.0025,0.01,107,1312,85,0.0
219,Thorium Charge S,0.0025,0.0025,0.01,107,1314,85,0.0
220,Uranium Charge S,0.0025,0.0025,0.01,107,1316,85,0.0
221,Plutonium Charge S,0.0025,0.0025,0.01,107,1313,85,0.0
222,Antimatter Charge S,0.0025,0.0025,0.01,107,1047,85,0.0
223,Iron Charge M,0.0125,0.0125,0.05,108,1319,85,0.0
224,Tungsten Charge M,0.0125,0.0125,0.05,108,1323,85,0.0
225,Iridium Charge M,0.0125,0.0125,0.05,108,1318,85,0.0
226,Lead Charge M,0.0125,0.0125,0.05,108,1320,85,0.0
227,Thorium Charge M,0.0125,0.0125,0.05,108,1322,85,0.0
228,Uranium Charge M,0.0125,0.0125,0.05,108,1324,85,0.0
229,Plutonium Charge M,0.0125,0.0125,0.05,108,1321,85,0.0
230,Antimatter Charge M,0.0125,0.0125,0.05,108,1317,85,0.0
231,Iron Charge L,0.025,0.025,0.1,106,1327,85,0.0
232,Tungsten Charge L,0.025,0.025,0.1,106,1331,85,0.0
233,Iridium Charge L,0.025,0.025,0.1,106,1326,85,0.0
234,Lead Charge L,0.025,0.025,0.1,106,1328,85,0.0
235,Thorium Charge L,0.025,0.025,0.1,106,1330,85,0.0
236,Uranium Charge L,0.025,0.025,0.1,106,1332,85,0.0
237,Plutonium Charge L,0.025,0.025,0.1,106,1329,85,0.0
238,Antimatter Charge L,0.025,0.025,0.1,106,1325,85,0.0
239,Radio S,1.0,1.0,1.0,102,1145,86,0.0
240,Microwave S,1.0,1.0,1.0,102,1143,86,0.0
241,Infrared S,1.0,1.0,1.0,102,1144,86,0.0
242,Standard S,1.0,1.0,1.0,102,1142,86,0.0
243,Ultraviolet S,1.0,1.0,1.0,102,1141,86,0.0
244,Xray S,1.0,1.0,1.0,102,1140,86,0.0
245,Gamma S,1.0,1.0,1.0,102,1139,86,0.0
246,Multifrequency S,1.0,1.0,1.0,102,1131,86,0.0
247,Radio M,1.0,1.0,1.0,103,1145,86,0.0
248,Microwave M,1.0,1.0,1.0,103,1143,86,0.0
249,Infrared M,1.0,1.0,1.0,103,1144,86,0.0
250,Standard M,1.0,1.0,1.0,103,1142,86,0.0
251,Ultraviolet M,1.0,1.0,1.0,103,1141,86,0.0
252,Xray M,1.0,1.0,1.0,103,1140,86,0.0
253,Gamma M,1.0,1.0,1.0,103,1139,86,0.0
254,Multifrequency M,1.0,1.0,1.0,103,1131,86,0.0
255,Radio L,1.0,1.0,1.0,105,1145,86,0.0
256,Microwave L,1.0,1.0,1.0,105,1143,86,0.0
257,Infrared L,1.0,1.0,1.0,105,1144,86,0.0
258,Standard L,1.0,1.0,1.0,105,1142,86,0.0
259,Ultraviolet L,1.0,1.0,1.0,105,1141,86,0.0
260,Xray L,1.0,1.0,1.0,105,1140,86,0.0
